GT,GOODYEAR TIRE & RUBBER CO COM,9.89,+.95,+10.63%,"10,612,772",10.04,10.12,10.32,9.37,-3.72,"2,304 M",77.12%
TRXC,TRANSENTERIX INC COM,.6065,-.1935,-24.19%,"10,460,611",.6310,.6400,.7360,.5799,-7.93,31 M,220.93%
MT,ARCELORMITTAL ADR SPONSORED,11.59,+.24,+2.11%,"9,892,562",10.92,11.79,11.94,11.47,-3.94,"12,669 M",68.28%
BCS,BARCLAYS PLC ADR SPONSORED,6.60,+.37,+5.94%,"9,884,559",6.33,6.86,6.71,6.58,.5945,"28,614 M",76.57%
FTI,TECHNIPFMC PLC COM,9.59,+.98,+11.38%,"9,707,802",9.50,10.99,9.7387,9.27,-12.72,"4,299 M",58.04%
MIK,MICHAELS CO INC COM,5.51,+.52,+10.42%,"9,621,978",5.48,5.51,6.18,5.23,1.11,812 M,132.32%
NAT,NORDIC AMER TANKERS LTD COM,4.72,+.34,+7.76%,"9,527,037",4.68,4.74,4.75,4.42,.16,695 M,72.45%
DRH,DIAMONDROCK HOSPITALITY CO COM,7.38,+.54,+7.89%,"9,445,078",6.65,11.00,8.20,7.35,.69,"1,470 M",216.96%
BTE,BAYTEX ENERGY CORP COM,.6339,+.1285,+25.43%,"9,437,110",.6700,.6738,.6358,.5520,-3.386,355 M,<empty>
CLNY,COLONY CAPITAL INC CL A COM,2.96,+.06,+2.07%,"9,433,115",2.96,3.00,3.31,2.87,-2.96,"1,427 M",90.75%
PEI,PENNSYLVANIA REAL ESTATE INVES SH BEN INT,1.99,+.58,+41.13%,"9,422,544",2.07,2.38,2.35,1.485,-.48,157 M,119.53%
AMC,AMC ENTERTAINMENT HOLDINGS INC COM CL A,5.91,+.53,+9.85%,"9,240,931",5.98,5.99,6.15,5.64,-1.44,616 M,174.38%
TPR,TAPESTRY INC COM,17.31,+.87,+5.29%,"9,222,261",17.25,17.99,17.95,17.30,-.77,"4,779 M",74.52%
BNGO,BIONANO GENOMICS INC COM,.5268,-.0112,-2.08%,"9,162,633",.5450,.5454,.5600,.5025,-1.99,36 M,<empty>
ING,ING GROEP N.V. ADR SPONSORED,7.94,+.49,+6.58%,"9,067,927",7.20,8.80,8.07,7.895,.9593,"30,970 M",76.86%
NERV,MINERVA NEUROSCIENCES INC COM,3.92,-.34,-7.98%,"8,965,688",3.98,4.00,4.40,3.91,-1.75,154 M,272.88%
BKD,BROOKDALE SENIOR LIVING INC COM,3.97,-.01,-0.25%,"8,930,737",3.76,4.50,4.365,3.93,.79,727 M,151.82%
FHN,FIRST HORIZON NATIONAL CORP COM,11.53,+.57,+5.20%,"8,823,761",11.25,11.52,11.99,11.32,1.11,"3,596 M",107.53%
KIM,KIMCO REALTY CORP COM,15.22,+.91,+6.36%,"8,813,226",14.95,15.90,15.89,15.02,.75,"6,583 M",66.53%
SKT,TANGER FACTORY OUTLET CENTERS COM,8.81,+.58,+7.05%,"8,695,197",9.00,9.25,9.60,8.77,-.03,823 M,82.72%
RWT,REDWOOD TRUST INC COM,7.08,+.44,+6.63%,"8,659,705",7.24,7.50,7.95,6.95,-7.31,813 M,122.12%
GLUU,GLU MOBILE INC COM,8.94,-.54,-5.70%,"8,633,601",8.93,9.00,9.4399,8.90,-.0046,"1,355 M",81.94%
ERIC,ERICSSON ADR SPONSORED,9.62,-.05,-0.52%,"8,579,050",9.55,9.57,9.725,9.59,.62,"31,924 M",46.59%
HTBX,HEAT BIOLOGICS INC COM,.8679,-.02,-2.25%,"8,473,899",.8610,.8705,.9200,.8400,-.54,73 M,<empty>
SHO,SUNSTONE HOTEL INVESTORS INC COM,9.86,+.17,+1.75%,"8,435,880",9.00,13.70,10.805,9.755,-.27,"2,126 M",59.42%
GOGO,GOGO INC COM,3.165,+.055,+1.77%,"8,430,204",3.30,3.31,3.88,3.07,-2.64,265 M,179.22%
AZUL,AZUL SA ADR UNSPONSORED,12.80,+1.66,+14.90%,"8,424,340",13.46,13.68,13.17,12.25,-17.35,"1,458 M",141.75%
AES,AES CORP COM,14.30,+.46,+3.32%,"8,321,194",12.87,15.00,15.06,14.22,.44,"9,508 M",60.01%
HTGM,HTG MOLECULAR DIAGNOSTICS INC COM,.7000,-.0098,-1.38%,"8,301,932",.7208,.7325,.7763,.6527,-.4,44 M,++
BCRX,BIOCRYST PHARMACEUTICALS INC COM,4.17,-.19,-4.36%,"8,176,364",4.26,4.35,4.40,4.07,-.9,736 M,153.42%
MTG,MGIC INVESTMENT CORP COM,9.79,+.51,+5.50%,"7,834,967",7.56,14.48,10.42,9.61,1.85,"3,315 M",74.08%
HLX,HELIX ENERGY SOLUTIONS GRP INC COM,5.11,+.84,+19.67%,"7,828,736",5.05,5.12,5.18,4.56,.28,767 M,130.25%
CLR,CONTINENTAL RESOURCES INC COM,18.43,+3.06,+19.91%,"7,826,771",18.43,18.70,18.49,16.60,1.07,"6,730 M",99.33%
EMAN,EMAGIN CORP COM,.7000,+.0189,+2.77%,"7,695,656",.6720,.7380,.7300,.5800,-.09,38 M,394.65%
AG,FIRST MAJESTIC SILVER CORP COM,9.72,-.26,-2.61%,"7,635,810",9.52,9.70,9.77,9.21,-.36,"2,038 M",70.59%
VBIV,VBI VACCINES INC CDA COM,2.00,-.10,-4.76%,"7,603,926",2.00,2.02,2.12,1.96,-.36,461 M,200.29%
EVFM,EVOFEM BIOSCIENCES INC COM,3.31,+.02,+0.61%,"7,512,860",3.37,3.39,3.48,3.30,-1.72,165 M,214.40%
ERJ,EMBRAER SA ADR SPONSORED,7.29,+.29,+4.14%,"7,486,159",7.29,7.55,7.65,7.135,-3.116,"1,340 M",95.14%
FLEX,FLEX LTD COM,11.73,+.69,+6.25%,"7,481,561",11.40,11.81,11.845,11.38,.17,"5,837 M",55.55%
DHC,DIVERSIFIED HEALTHCARE TRUST SHS OF BENEFICIAL INTEREST,6.10,+.75,+14.02%,"7,439,799",5.40,6.15,6.10,5.3801,-.46,"1,452 M",121.69%
ROSE,ROSEHILL RESOURCES INC COM CL A,.6451,+.0925,+16.74%,"7,434,305",.6960,.7000,.8400,.5900,-1.61,29 M,<empty>
TXMD,THERAPEUTICSMD INC COM,1.18,+.06,+5.36%,"7,031,797",1.18,1.20,1.23,1.13,-.77,321 M,169.20%
PSV,HERMITAGE OFFSHORE SERVICES LT COM,.9088,+.3674,+67.86%,"6,978,657",.8200,.8600,1.4300,.6914,-1.13,28 M,<empty>
ECOR,ELECTROCORE INC COM,1.29,+.371,+40.37%,"6,969,519",1.27,1.28,1.42,.9202,-1.34,49 M,<empty>
UAVS,AGEAGLE AERIAL SYSTEMS INC COM,1.45,-.11,-7.05%,"6,942,277",1.46,1.49,1.49,1.37,-.16,57 M,<empty>
MVIS,MICROVISION INC WASHINGTON COM,1.02,-.02,-1.92%,"6,902,073",1.03,1.04,1.03,.9811,-.2,145 M,292.49%
TLRD,TAILORED BRANDS INC COM,1.84,+.33,+21.85%,"6,896,578",1.84,1.90,1.95,1.65,-1.65,90 M,250.01%
VSTM,VERASTEM INC COM,1.88,+.05,+2.73%,"6,785,039",1.86,1.88,1.91,1.80,-1.83,306 M,175.15%
BLMN,BLOOMIN BRANDS INC COM,13.72,+.45,+3.39%,"6,764,207",13.94,14.00,14.71,13.45,.32,"1,200 M",104.29%
BGG,BRIGGS & STRATTON CORP COM,2.34,+.55,+30.73%,"6,757,682",2.27,2.35,2.58,1.85,-5.1,99 M,202.06%
COMM,COMMSCOPE HOLDINGS CO INC COM,10.99,+.71,+6.91%,"6,696,674",10.28,11.15,11.12,10.66,-5.9,"2,153 M",75.11%
PBF,PBF ENERGY INC COM CL A,14.15,+2.17,+18.11%,"6,586,430",13.50,14.45,14.67,13.24,-8.18,"1,698 M",95.91%
NEBU,NEBULA ACQUISITION CORPORATION COM,10.30,+.05,+0.49%,"6,538,524",10.16,10.57,10.94,10.15,.09,354 M,<empty>
TBLT,TOUGHBUILT INDUSTRIES INC COM,.8975,+.0528,+6.25%,"6,390,562",.8910,.8967,.9260,.8512,-.58,32 M,<empty>
