HA,14.43,-.42,"1,220,600"
SPWH,11.17,+.46,"1,214,999"
NK,6.74,+.13,"1,212,484"
CXP,12.73,-.42,"1,211,546"
PDSB,1.31,+.06,"1,207,513"
OBSV,3.74,-.19,"1,206,083"
KLXE,1.48,-.155,"1,205,673"
PLT,13.03,+.50,"1,196,091"
VRML,3.2700,+.02,"1,193,613"
JELD,13.63,-.91,"1,191,247"
SILV,8.93,+.81,"1,189,633"
EIGI,3.58,+.17,"1,186,381"
GENE,2.04,0,"1,178,863"
YI,7.40,-.16,"1,175,472"
BOMN,16.32,-.09,"1,171,892"
PDM,16.68,-.57,"1,165,572"
INVE,4.18,+.09,"1,165,189"
PAVM,1.99,+.01,"1,159,108"
KSHB,1.1850,-.015,"1,154,765"
OSUR,14.54,+1.03,"1,143,620"
CLSK,2.01,-.09,"1,143,299"
ASNA,1.67,-.28,"1,133,581"
ELYGF,1.1700,+.12,"1,133,453"
FLXN,11.43,-.22,"1,133,152"
WPRT,1.31,-.07,"1,128,887"
TMBR,2.70,-.18,"1,127,728"
PRTS,6.97,+.51,"1,119,705"
CERC,3.23,+.305,"1,098,181"
WNC,9.55,-.34,"1,090,934"
NIU,10.65,-.08,"1,089,813"
LJPC,4.72,+.06,"1,085,997"
CNTY,5.47,+.33,"1,083,646"
TGEN,.6600,-.20,"1,066,252"
SGLB,2.59,+.09,"1,044,858"
SRG,7.87,-.74,"1,044,791"
ZIXI,6.72,+.24,"1,044,703"
CEMI,9.63,+.66,"1,026,277"
IMAX,12.61,+.43,"1,022,413"
PPERY,6.00,+.335,"1,022,239"
YCBD,1.47,-.06,"1,020,283"
NNBR,4.47,+.33,"1,019,613"
ONCY,2.44,-.04,"1,014,048"
ELP,11.91,+.14,"1,013,858"
CIK,2.66,+.03,"1,009,273"
GRNQ,1.45,-.22,"1,000,011"
PRMW,12.03,+.29,"998,986"
NVUS,1.27,-.04,"997,205"
MAG,12.47,+.63,"996,037"
RQI,10.74,-.02,"989,611"
VNET,14.60,+.47,"987,882"
ONVO,.6315,-.0372,"987,814"
DTIL,7.01,-.05,"979,988"
CCRN,6.07,-.20,"971,632"
MESA,3.25,-.16,"971,479"
FAX,3.68,+.04,"963,253"
PBFX,10.40,+.15,"961,544"
VECO,11.74,+.37,"956,443"
MEOH,16.11,-.92,"949,660"
OVID,5.35,+.095,"941,471"
GOSS,12.15,+.05,"939,816"
ARYA,13.40,+2.40,"934,229"
XHR,9.00,-.34,"933,051"
USAS,2.48,+.03,"929,551"
RESI,7.50,-.09,"928,780"
NMIH,15.365,-.125,"928,612"
CHK,13.01,-.30,"925,723"
VSTO,9.71,+.42,"918,129"
MCF,2.75,+.12,"917,807"
LC,5.35,-.43,"914,442"
MMMM,.5499,-.0201,"913,789"
PLYA,2.61,-.06,"913,475"
MNRL,13.25,+.04,"913,096"
ENLAY,7.66,+.23,"912,562"
SNDX,16.20,+.15,"904,765"
ZYXI,19.40,+.47,"899,077"
SEEL,1.2300,-.03,"897,266"
MTEM,15.52,+.09,"895,909"
KALA,12.31,+.06,"894,980"
ACRGF,3.30,-.64,"891,188"
IHRT,8.70,+.575,"878,530"
NBLX,9.67,+.05,"878,322"
TRIB,1.26,-.01,"868,997"
CCCL,.6464,+.0178,"866,409"
GTX,5.17,-.14,"858,802"
BBX,1.79,-.14,"857,703"
ACDVF,11.546,-.07911,"856,833"
CREX,2.52,-.03,"854,551"
UMRX,.5612,-.0328,"851,456"
TNK,17.38,-.02,"840,841"
AGS,5.21,+.08,"833,351"
SLRX,.9899,-.0601,"814,307"
LXXGF,.6200,+.015,"803,466"
BHLB,10.82,-.63,"801,473"
BKCC,2.71,-.29,"794,150"
AQST,4.87,-.12,"792,178"
CWBHF,5.37932,-.54125,"791,914"
ICLK,5.21,+.22,"786,300"
VBLT,1.23,0,"785,769"
PARR,9.29,-.25,"784,223"
EXTN,6.42,-.63,"783,819"
FFBC,13.29,-.75,"778,707"
CLRB,1.513,+.163,"775,139"
AMBC,13.42,-.86,"767,723"
SCPL,14.02,+.75,"765,807"
HUSKF,2.83475,-.25325,"762,394"
NXGN,10.32,-.18,"760,699"
BDORY,5.685,-.115,"760,053"
CLPHY,9.89,+.11,"758,791"
LRTNF,.9480,+.0283,"756,683"
ACRE,7.45,-.53,"755,702"
CMCM,2.74,-.09,"753,167"
EFOI,.9100,-.03,"748,202"
FI,2.25,-.15,"747,009"
AEMD,1.47,-.10,"746,835"
TWI,1.23,-.06,"741,911"
EBR,5.36,0,"739,146"
NAVB,2.62,+.05,"738,137"
SPH,14.59,-.12,"737,502"
CTXR,.8680,-.002,"733,353"
DBOEY,16.43,-.005,"731,779"
SOGO,3.19,+.04,"731,696"
ORGO,4.13,-.48,"730,219"
DMPI,.9800,-.05,"723,732"
SINT,.6899,-.0266,"719,316"
WBK,11.36,-.68,"719,193"
CTMX,8.86,+.13,"715,319"
EYES,.9555,+.019,"712,405"
PLAB,11.99,+.55,"711,942"
SND,1.06,-.11,"707,033"
CYCC,5.02,-.38,"704,947"
WFSTF,.5556,-.0344,"700,688"
VGZ,.9030,+.0505,"698,918"
TMST,3.50,-.22,"698,042"
AINV,10.10,+.02,"691,216"
TISI,4.93,-.42,"685,345"
DRTT,1.31,+.04,"684,355"
MG,4.04,-.35,"676,799"
BTHR,1.0400,-.15,"676,309"
TBBK,8.80,+.51,"666,399"
GDEN,12.195,+.105,"665,366"
IDCBY,12.93,+.07,"658,033"
ATRO,9.13,-.20,"657,923"
KOPN,1.0400,+.02,"657,017"
DFIN,8.15,-.03,"656,874"
FUTU,15.99,+1.11,"651,961"
MYSZ,.9799,-.0501,"647,972"
OXFD,12.25,+.26,"647,332"
KRA,15.25,-.72,"645,838"
HOTH,2.89,+.05,"635,435"
CORR,10.00,-1.05,"628,207"
SNES,1.91,+.03,"627,179"
GHG,13.27,+1.54,"624,899"
EVOK,2.47,-.05,"622,466"
UEPS,3.09,-.12,"621,627"
EEX,2.22,-.16,"621,271"
AGRO,4.31,+.03,"620,274"
VHI,.7839,-.1796,"619,564"
DSSI,10.95,+.28,"619,320"
TDW,4.77,-.46,"618,386"
TMRC,1.9200,+.14,"617,542"
CELH,9.27,+.58,"616,688"
HUD,5.04,-.10,"614,447"
AMPY,1.10,-.03,"612,612"
NTLA,17.51,-.01,"610,759"
GNCA,2.76,-.24,"603,625"
HMI,9.40,+.30,"601,094"
XYF,.6899,-.0801,"593,256"
HESM,19.42,+.03,"592,918"
EPOKY,11.06,+.01,"589,923"
HAFC,9.03,-.73,"587,699"
CLDT,6.75,-.61,"587,352"
GRWG,6.61,+.11,"581,712"
SPCB,1.06,-.03,"580,702"
LIND,7.85,+.17,"577,100"
AHH,8.62,-.48,"573,597"
GWB,14.24,-.55,"571,479"
TRST,6.30,-.38,"564,680"
GLRE,7.24,+.29,"563,660"
WSR,6.15,-.16,"560,507"
ARNGF,1.375,+.005,"555,920"
STCN,.5190,+.0316,"552,997"
XENE,13.70,+1.00,"552,234"
TITN,10.47,-.40,"550,642"
CPCAY,4.85,+.13,"546,944"
MESO,12.83,+.18,"546,378"
EADSY,15.99,-.52,"545,118"
REDU,3.01,-.46,"543,886"
OMP,8.74,-.06,"540,858"
ONE,3.68,-.28,"538,902"
FTAI,11.25,+.13,"532,338"
RGS,10.52,-.32,"530,707"
BGFV,1.86,-.04,"528,717"
EGY,.9919,+.0165,"528,199"
RC,5.87,-.30,"524,838"
NUVSF,.5704,-.0198,"524,134"
CIOXY,.750,+.0502,"523,814"
BCDRF,2.2645,-.0896,"522,762"
GFSZF,1.10629,+.03629,"522,379"
AGFS,2.66,-.02,"521,941"
TIGR,3.33,-.07,"519,872"
JILL,.6130,-.035,"516,893"
KURA,17.09,+.44,"512,199"
SNCR,2.725,+.085,"512,169"
PYX,2.81,-.05,"511,572"
SNGX,1.91,-.13,"510,224"
TBI,15.46,-.25,"509,516"
USAU,8.79,+.72,"508,524"
KIRK,1.13,+.05,"504,117"
MCFT,14.86,+.09,"501,759"
KRMD,10.12,+.57,"501,551"
NVGS,7.00,+1.56,"499,590"
FFWM,14.90,+.05,"498,987"
SYBX,2.51,+.06,"498,918"
IMMP,1.23,-.02,"496,251"
MRUS,13.65,-.49,"492,828"
BSGM,9.38,-.51,"491,746"
TTPH,2.16,-.10,"491,472"
CHUY,15.99,-.85,"491,203"
WHGLY,17.285,+.892,"491,196"
PIXY,5.17,-.06,"490,606"
SEAC,1.89,-.07,"489,209"
NCZ,3.72,+.05,"488,946"
TOMZ,1.0800,-.02,"487,174"
MBIO,3.73,+.16,"486,607"
NVIV,1.52,+.04,"486,504"
JCAP,12.07,-.21,"483,586"
FLGT,17.42,+1.36,"481,273"
LTGHY,4.07,+.0399,"476,492"
DTLAp,15.47,+1.72,"473,533"
PURE,1.2600,+.03,"472,844"
WBAI,2.84,-.57,"471,873"
MTL,1.81,-.08,"471,631"
BNED,1.55,-.10,"470,595"
EXPI,10.69,+.56,"468,681"
VITFF,9.3662,+.7002,"467,023"
SBRCY,11.44,-.16,"466,850"
DRD,9.77,+.47,"466,755"
ATOS,2.38,+.11,"465,787"
TENX,1.4400,-.06,"462,254"
PTE,.9764,-.0336,"453,844"
CUTR,13.28,-.08,"449,737"
HALL,2.33,-.26,"448,736"
LUCRF,.316452,-.044648,"446,047"
LIVX,2.86,-.08,"445,117"
GCAP,6.28,+.01,"444,618"
BOXL,.8514,-.0687,"444,479"
BRKL,9.30,-.59,"442,511"
OXSQ,2.98,0,"441,802"
KNL,10.56,-.98,"437,966"
AXLA,6.00,+.33,"437,943"
CVTI,12.60,-.16,"437,122"
RGLS,.7500,+.02,"436,344"
FRHC,17.39,+.07,"435,980"
FLY,8.28,-.29,"432,888"
ASPS,14.23,-1.44,"431,802"
LDL,10.82,-1.16,"427,358"
ARYAW,4.50,+1.7584,"426,681"
MCS,13.48,-.67,"424,354"
SHLO,1.1900,-.08,"419,484"
AWF,10.24,+.16,"418,499"
ATOM,8.68,-.21,"416,459"
KIN,4.29,-.11,"406,446"
CVEO,.5054,-.0095,"406,376"
SOHO,2.94,+.03,"406,213"
PBPB,2.10,-.02,"404,947"
VUZI,2.49,+.05,"403,205"
VRS,14.38,-.28,"401,702"
CESDF,.7371,-.0829,"400,853"
DKILY,14.69,-.06,"400,045"
CATS,19.81,+.57,"393,255"
POAI,1.54,+.03,"391,254"
SLNO,3.36,-.20,"388,704"
DSS,7.45,+.15,"386,095"
CTSO,10.21,+.545,"385,715"
GOOD,17.92,+.28,"384,033"
SOBKY,12.56,-.105,"383,483"
VVUS,1.12,-.05,"382,932"
SAXPY,17.68,-.56,"379,268"
MTC,2.13,+.1139,"378,471"
HRUFF,7.00,-.68,"377,307"
INWK,1.19,-.11,"373,154"
PNGAY,19.78,+.10,"370,789"
BBSEY,4.69,-.04,"369,678"
BLU,10.49,+.17,"369,352"
FTSI,6.14,-1.05,"369,255"
RYI,4.99,-.33,"365,445"
FIXX,14.24,-.58,"365,060"
PRPL,14.34,+.23,"361,929"
TESS,5.32,+.40,"359,386"
LQDA,9.24,-.24,"356,714"
HEGIF,8.12,+.12,"356,200"
LAC,4.12,-.08,"354,386"
ECOM,13.95,+.24,"352,122"
TMDX,13.21,-.62,"351,938"
MTP,1.25,-.14,"349,735"
DSVMF,.5440,+.0121,"347,708"
RNET,.9803,-.0597,"344,526"
SGAPY,17.40,-.30,"343,866"
WYY,.5700,+.0089,"343,453"
MCRB,5.49,-.05,"342,550"
HEES,17.14,-.42,"342,527"
MDWD,2.05,+.05,"341,597"
VREX,18.76,-.18,"339,122"
GILT,8.36,+.04,"337,968"
ASC,5.84,-.08,"336,257"
SKYS,2.68,-1.08,"335,730"
CSU,.6600,-.0705,"335,699"
LE,6.28,-.03,"335,580"
CVU,2.74,-.15,"332,122"
DRAD,2.06,-.17,"329,500"
AMPH,18.64,+.02,"329,371"
NTP,5.87,+.32,"325,699"
NUPMF,4.21,+.06,"321,841"
TRSSF,2.3164,+.1564,"321,550"
CMTL,17.81,-.07,"321,433"
OSMT,5.97,+.04,"321,364"
GMDA,5.63,-.02,"320,763"
PHIOW,.2809,+.042799,"319,286"
REVG,6.10,-.11,"315,849"
TRVG,2.10,-.04,"315,109"
NEW,6.76,0,"310,697"
RMBL,7.95,+.45,"309,331"
ANDE,12.96,-.09,"307,566"
ARTL,1.28,-.05,"305,913"
VVI,18.34,-.15,"305,566"
VERU,3.73,-.01,"304,682"
CVGI,2.53,0,"304,511"
AXTI,5.29,+.08,"302,180"
JAPSY,9.85,-.36,"300,472"
SKHHY,18.55,-.785,"299,534"
GFSZY,5.565,-.135,"298,027"
CMLS,5.17,-.74,"295,717"
CUBI,11.09,-.21,"293,870"
LORL,18.83,-.25,"293,471"
MLLLF,.5400,-.023,"291,531"
TRVI,2.74,-.03,"290,543"
SIGA,5.99,-.09,"289,523"
CFRX,5.17,-.14,"288,028"
ESVIF,.520,-.02122,"287,748"
SUZ,7.08,-.01,"286,697"
